date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2011-12-15,Maize (white) - Wholesale,MT,cereals and tubers,815.5,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-01-15,Maize (white) - Wholesale,MT,cereals and tubers,753.6475,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-02-15,Maize (white) - Wholesale,MT,cereals and tubers,673.65,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-03-15,Maize (white) - Wholesale,MT,cereals and tubers,701.49,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-04-15,Maize (white) - Wholesale,MT,cereals and tubers,649.1575,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-05-15,Maize (white) - Wholesale,MT,cereals and tubers,654.6175,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-06-15,Maize (white) - Wholesale,MT,cereals and tubers,702.3625,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-07-15,Maize (white) - Wholesale,MT,cereals and tubers,698.1,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-08-15,Maize (white) - Wholesale,MT,cereals and tubers,625.105,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-09-15,Maize (white) - Wholesale,MT,cereals and tubers,758.355,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-10-15,Maize (white) - Wholesale,MT,cereals and tubers,810.025,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-11-15,Maize (white) - Wholesale,MT,cereals and tubers,807.6033,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2012-12-15,Maize (white) - Wholesale,MT,cereals and tubers,731.56,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-01-15,Maize (white) - Wholesale,MT,cereals and tubers,720.67,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-02-15,Maize (white) - Wholesale,MT,cereals and tubers,762.415,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-03-15,Maize (white) - Wholesale,MT,cereals and tubers,728.825,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-04-15,Maize (white) - Wholesale,MT,cereals and tubers,724.8367,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-05-15,Maize (white) - Wholesale,MT,cereals and tubers,723.915,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-06-15,Maize (white) - Wholesale,MT,cereals and tubers,723.9,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-07-15,Maize (white) - Wholesale,MT,cereals and tubers,715.3967,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-08-15,Maize (white) - Wholesale,MT,cereals and tubers,762.2933,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-09-15,Maize (white) - Wholesale,MT,cereals and tubers,722.628,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-10-15,Maize (white) - Wholesale,MT,cereals and tubers,731.5875,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-11-15,Maize (white) - Wholesale,MT,cereals and tubers,736.8333,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2013-12-15,Maize (white) - Wholesale,MT,cereals and tubers,735.03,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-01-15,Maize (white) - Wholesale,MT,cereals and tubers,710.54,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-02-15,Maize (white) - Wholesale,MT,cereals and tubers,698.795,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-03-15,Maize (white) - Wholesale,MT,cereals and tubers,661.188,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-04-15,Maize (white) - Wholesale,MT,cereals and tubers,654.3733,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-05-15,Maize (white) - Wholesale,MT,cereals and tubers,636.0575,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-06-15,Maize (white) - Wholesale,MT,cereals and tubers,624.46,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-07-15,Maize (white) - Wholesale,MT,cereals and tubers,651.0067,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-08-15,Maize (white) - Wholesale,MT,cereals and tubers,706.5425,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-09-15,Maize (white) - Wholesale,MT,cereals and tubers,690.5267,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2014-12-15,Maize (white) - Wholesale,MT,cereals and tubers,695.2133,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
2015-01-15,Maize (white) - Wholesale,MT,cereals and tubers,683.565,USD,Costa Rica,,0,National Average,300,67,14,18,1,300_67_14_18,
